,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,video_url
202,Dacia,DUSTER,2011,3,74%,78%,28%,29%,https://www.youtube.com/embed/VT9SIhjOeew
203,Peugeot,508,2011,5,90%,87%,41%,97%,https://www.youtube.com/embed/adpisB5RsCs
204,Lexus,CT200H,2011,5,94%,84%,55%,86%,https://www.youtube.com/embed/TinmjpskuwU
205,Citroen,DS4,2011,5,90%,80%,43%,97%,https://www.youtube.com/embed/72lX1BeUDFY
206,Volkswagen,JETTA,2011,5,94%,86%,56%,71%,https://www.youtube.com/embed/3lIKxSDDdx0
207,Kia,PICANTO,2011,4,86%,83%,47%,43%,https://www.youtube.com/embed/J_ePp-xVVws
208,Hyundai,I40,2011,5,92%,86%,43%,86%,https://www.youtube.com/embed/K7fuD3_iBVg
209,Citroen,DS5,2011,5,89%,83%,40%,97%,https://www.youtube.com/embed/w2deVmyVbwE
210,Chevrolet,VOLT?,2011,5,85%,78%,41%,86%,https://www.youtube.com/embed/gnyXYRkjiV0
211,Chevrolet,ORLANDO,2011,5,95%,79%,49%,71%,https://www.youtube.com/embed/I7lDrnt2aJk
212,Chevrolet,AVEO,2011,5,95%,87%,54%,93%,https://www.youtube.com/embed/OHyKcSGoVwY
213,BMW,X3,2011,5,88%,83%,53%,71%,https://www.youtube.com/embed/qjErFobSMnw
214,Audi,A6,2011,5,91%,83%,41%,86%,https://www.youtube.com/embed/N1EfH4_43D8
215,Toyota,YARIS,2011,5,89%,81%,60%,86%,https://www.youtube.com/embed/Qx58sQSFzSk
216,Lancia,THEMA?,2011,5,83%,77%,59%,71%,https://www.youtube.com/embed/wLudmMCHZ9w
217,Hyundai,VELOSTER,2011,5,96%,89%,49%,71%,https://www.youtube.com/embed/cx68v2_ntJU
218,Fiat,FREEMONT?,2011,5,83%,82%,50%,71%,https://www.youtube.com/embed/zcq-qMk_aPc
219,Lancia,VOYAGER?,2011,4,79%,67%,47%,71%,https://www.youtube.com/embed/OsnBLbyOh1s
220,Chevrolet,CAPTIVA,2011,5,88%,82%,48%,71%,https://www.youtube.com/embed/Th1wb_I_wJU
221,Audi,Q3,2011,5,94%,85%,52%,86%,https://www.youtube.com/embed/W7vAiAvOrJk
222,Volkswagen,BEETLE,2011,5,92%,90%,53%,86%,https://www.youtube.com/embed/P3PbgjwWQjA
223,Seat,IBIZA,2011,5,82%,77%,59%,71%,https://www.youtube.com/embed/QM9EM6755H0
224,MG,6?,2011,4,73%,71%,42%,71%,https://www.youtube.com/embed/tRIZRKU29IE
225,Kia,RIO,2011,5,92%,84%,46%,86%,https://www.youtube.com/embed/D_WrzoB3oGc
226,Jaguar,XF,2011,4,79%,73%,62%,71%,https://www.youtube.com/embed/x9zHfnqd38o
227,Fiat,PANDA,2011,4,82%,63%,49%,43%,https://www.youtube.com/embed/egPPoPj0kDY
228,Chevrolet,MALIBU,2011,5,94%,83%,57%,71%,https://www.youtube.com/embed/w04t51TvmcY
229,Volvo,V60,2012,5,94%,82%,64%,100%,https://www.youtube.com/embed/ZXLEx8u3wDs
230,Nissan,LEAF,2012,5,89%,83%,65%,84%,https://www.youtube.com/embed/2USWcvor9fw
231,Ford,FOCUS,2012,5,92%,82%,72%,71%,https://www.youtube.com/embed/-_nVsoZToWc
232,Ford,RANGER,2012,5,96%,86%,81%,71%,https://www.youtube.com/embed/-Kvtyg6UGss
233,Subaru,XV,2012,5,86%,90%,64%,86%,https://www.youtube.com/embed/dq8fl2b-h0w
234,Jeep,COMPASS,2012,2,61%,76%,23%,43%,https://www.youtube.com/embed/uOSdadWa4_4
235,Honda,CIVIC,2012,5,94%,83%,69%,86%,https://www.youtube.com/embed/HYUOnYsoXSY
236,BMW,X1,2012,5,87%,86%,64%,71%,https://www.youtube.com/embed/ziXW49ZDJEE
237,Peugeot,208,2012,5,88%,78%,61%,83%,https://www.youtube.com/embed/j8xTzEbAHQE
238,Hyundai,I30,2012,5,90%,90%,67%,86%,https://www.youtube.com/embed/CF49_vGQJRw
239,Volvo,V40,2012,5,98%,75%,88%,100%,https://www.youtube.com/embed/PivsJODHeks
240,Renault,CLIO,2012,5,88%,89%,66%,99%,https://www.youtube.com/embed/ugrp6FS4tPU
241,Audi,A3,2012,5,95%,87%,74%,86%,https://www.youtube.com/embed/LrmYJxrNnqc
242,Volkswagen,GOLF,2012,5,94%,89%,65%,71%,https://www.youtube.com/embed/bc5vPX5WhDg
243,Subaru,F0RESTER,2012,5,91%,91%,73%,86%,https://www.youtube.com/embed/AiwE0RYly58
244,Skoda,RAPID,2012,5,94%,80%,69%,71%,https://www.youtube.com/embed/0n3lXY2cdkY
245,Seat,TOLEDO,2012,5,94%,80%,69%,71%,https://www.youtube.com/embed/0n3lXY2cdkY
246,Seat,LEON,2012,5,94%,92%,70%,71%,https://www.youtube.com/embed/Oh6Cx-XBRy4
247,Mitsubishi,OUTLANDER?,2012,5,94%,83%,64%,100%,https://www.youtube.com/embed/AwO7umk7n3o
248,Ford,KUGA,2012,5,94%,86%,70%,100%,https://www.youtube.com/embed/arImbog8rww
249,Ford,FIESTA,2012,5,91%,86%,65%,71%,https://www.youtube.com/embed/tjEuow7I3bo
250,Fiat,500,2012,5,94%,78%,65%,71%,https://www.youtube.com/embed/Jhs4QHBN2Ug
251,Dacia,LODGY,2012,3,72%,77%,44%,29%,https://www.youtube.com/embed/yIEjWifBwo8
252,Toyota,AYGO,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
253,Renault,TRAFIC,2012,2,58%,79%,28%,14%,https://www.youtube.com/embed/F3iiuQecZWA
254,Peugeot,EXPERT?,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
255,Peugeot,107,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
256,Fiat,SCUDO?,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
257,Citroen,JUMPY,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
258,Citroen,C1,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
259,Toyota,RAV4,2013,5,89%,82%,66%,66%,https://www.youtube.com/embed/uzGgrO-5wjw
260,Toyota,AURIS,2013,5,92%,84%,68%,66%,https://www.youtube.com/embed/AMTqwJKBAFg
261,Skoda,OCTAVIA,2013,5,93%,86%,66%,66%,https://www.youtube.com/embed/uayRqZIJyOs
262,Renault,ZOE,2013,5,89%,80%,66%,85%,https://www.youtube.com/embed/LpIEiG5a3yM
263,Renault,CAPTUR,2013,5,88%,79%,61%,81%,https://www.youtube.com/embed/LRzbOSF49eM
